geo,pososto,simaia_ad,xora,kratos_melos,xora_krisis,einai_ellada,einai_ee,omada_xrwmatos,imerominia
HU,48.2,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2017-01-01
HU,43.0,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2018-01-01
HU,41.1,b,Ουγγαρία,True,False,False,False,Υπόλοιπες,2019-01-01
HU,38.4,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2020-01-01
HU,40.9,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2021-01-01
HU,40.8,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2022-01-01
HU,43.1,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2023-01-01
HU,39.0,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2024-01-01
HU,39.1,,Ουγγαρία,True,False,False,False,Υπόλοιπες,2025-01-01
IE,26.9,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2003-01-01
IE,22.7,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2004-01-01
IE,24.4,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2005-01-01
IE,22.7,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2006-01-01
IE,21.4,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2007-01-01
IE,30.3,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2008-01-01
IE,38.8,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2009-01-01
IE,41.7,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2010-01-01
IE,48.5,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2011-01-01
IE,50.6,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2012-01-01
IE,50.7,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2013-01-01
IE,48.0,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2014-01-01
IE,42.1,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2015-01-01
IE,37.8,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2016-01-01
IE,35.5,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2017-01-01
IE,29.5,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2018-01-01
IE,29.7,b,Ιρλανδία,True,True,False,False,Υπόλοιπες,2019-01-01
IE,28.2,b,Ιρλανδία,True,True,False,False,Υπόλοιπες,2020-01-01
IE,24.6,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2021-01-01
IE,26.2,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2022-01-01
IE,23.7,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2023-01-01
IE,23.0,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2024-01-01
IE,20.5,,Ιρλανδία,True,True,False,False,Υπόλοιπες,2025-01-01
IT,38.7,,Ιταλία,True,True,False,False,Υπόλοιπες,2004-01-01
IT,39.1,,Ιταλία,True,True,False,False,Υπόλοιπες,2005-01-01
IT,39.0,,Ιταλία,True,True,False,False,Υπόλοιπες,2006-01-01
IT,39.4,,Ιταλία,True,True,False,False,Υπόλοιπες,2007-01-01
IT,39.7,,Ιταλία,True,True,False,False,Υπόλοιπες,2008-01-01
IT,41.2,,Ιταλία,True,True,False,False,Υπόλοιπες,2009-01-01
IT,40.5,,Ιταλία,True,True,False,False,Υπόλοιπες,2010-01-01
IT,46.4,,Ιταλία,True,True,False,False,Υπόλοιπες,2011-01-01
IT,50.8,,Ιταλία,True,True,False,False,Υπόλοιπες,2012-01-01
IT,51.0,,Ιταλία,True,True,False,False,Υπόλοιπες,2013-01-01
IT,49.5,,Ιταλία,True,True,False,False,Υπόλοιπες,2014-01-01
IT,47.3,,Ιταλία,True,True,False,False,Υπόλοιπες,2015-01-01
IT,45.3,,Ιταλία,True,True,False,False,Υπόλοιπες,2016-01-01
IT,43.0,,Ιταλία,True,True,False,False,Υπόλοιπες,2017-01-01
IT,44.4,,Ιταλία,True,True,False,False,Υπόλοιπες,2018-01-01
IT,41.9,,Ιταλία,True,True,False,False,Υπόλοιπες,2019-01-01
IT,35.7,,Ιταλία,True,True,False,False,Υπόλοιπες,2020-01-01
IT,37.5,,Ιταλία,True,True,False,False,Υπόλοιπες,2021-01-01
IT,34.2,,Ιταλία,True,True,False,False,Υπόλοιπες,2022-01-01
IT,32.3,,Ιταλία,True,True,False,False,Υπόλοιπες,2023-01-01
IT,31.4,,Ιταλία,True,True,False,False,Υπόλοιπες,2024-01-01
IT,35.7,,Ιταλία,True,True,False,False,Υπόλοιπες,2025-01-01
LT,70.7,,Λιθουανία,True,False,False,False,Υπόλοιπες,2005-01-01
LT,67.0,,Λιθουανία,True,False,False,False,Υπόλοιπες,2006-01-01
